Rank,Company,NAIC,Total Policies In Force,Total Direct Premium Written,Personal Policies In Force,Personal Direct Premium Written
1,STATE FARM FLORIDA INSURANCE COMPANY,10739,651105,1292629578.94,638209,1271214273.82
2,UNIVERSAL PROPERTY & CASUALTY INSURANCE COMPANY,10861,556127,1545669502.0,556127,1545669502.0
3,SLIDE INSURANCE COMPANY,17227,485506,1942412946.0,483880,1778720644.0
4,TOWER HILL INSURANCE EXCHANGE,17179,397336,1199360858.65,397336,1199360858.65
5,CITIZENS PROPERTY INSURANCE CORPORATION,10064,391994,1085760888.0,389157,936401414.0
6,AMERICAN INTEGRITY INSURANCE COMPANY,12841,390912,908191460.0,390751,883885685.0
7,FIRST PROTECTIVE INSURANCE COMPANY,10897,297100,1116062848.84,295747,960567049.94
8,AMERICAN BANKERS INSURANCE COMPANY OF FLORIDA,10111,284090,51976929.0,284090,51976929.0
9,MANATEE INSURANCE EXCHANGE,17580,212090,684148958.0,212090,684148958.0
10,FLORIDA PENINSULA INSURANCE COMPANY,10132,200573,830505761.0,200573,830505761.0
11,CASTLE KEY INDEMNITY COMPANY,10835,184412,299345270.43,184412,299345270.43
12,KIN INTERINSURANCE NETWORK,16603,162306,472150086.0,162306,472150086.0
13,UNITED SERVICES AUTOMOBILE ASSOCIATION,25941,154187,494788131.49,154187,494788131.49
14,SOUTHERN OAK INSURANCE COMPANY,12247,151998,442034923.0,151998,442034923.0
15,SECURITY FIRST INSURANCE COMPANY,10117,150707,468715363.0,150707,468715363.0
16,EDISON INSURANCE COMPANY,12482,148265,607845504.0,148265,607845504.0
17,"HOMEOWNERS CHOICE PROPERTY & CASUALTY INSURANCE COMPANY, INC.",12944,144879,651377567.0,144879,651377567.0
18,MONARCH NATIONAL INSURANCE COMPANY,15715,144060,544026238.0,144060,544026238.0
19,AMERICAN TRADITIONS INSURANCE COMPANY,12359,132536,230250711.46,132536,230250711.46
20,AMERICAN MODERN HOME INSURANCE COMPANY,23469,123924,25356196.08,123924,25356196.08
21,ASI PREFERRED INSURANCE CORP.,13142,114970,189802513.0,114970,189802513.0
22,HERITAGE PROPERTY & CASUALTY INSURANCE COMPANY,14407,113016,663658225.0,110213,406446999.0
23,AMERICAN SECURITY INSURANCE COMPANY,42978,103958,465768846.0,103958,465768846.0
24,HOMESITE INSURANCE COMPANY,17221,103681,97413136.0,103681,97413136.0
25,AUTO CLUB INSURANCE COMPANY OF FLORIDA,12813,87418,252906761.0,87418,252906761.0
