Rank,Company,NAIC,Total Policies In Force,Total Direct Premium Written,Personal Policies In Force,Personal Direct Premium Written
1,SLIDE INSURANCE COMPANY,17227,485506,1942412946.0,483880,1778720644.0
2,UNIVERSAL PROPERTY & CASUALTY INSURANCE COMPANY,10861,556127,1545669502.0,556127,1545669502.0
3,STATE FARM FLORIDA INSURANCE COMPANY,10739,651105,1292629578.94,638209,1271214273.82
4,TOWER HILL INSURANCE EXCHANGE,17179,397336,1199360858.65,397336,1199360858.65
5,FIRST PROTECTIVE INSURANCE COMPANY,10897,297100,1116062848.84,295747,960567049.94
6,CITIZENS PROPERTY INSURANCE CORPORATION,10064,391994,1085760888.0,389157,936401414.0
7,AMERICAN INTEGRITY INSURANCE COMPANY,12841,390912,908191460.0,390751,883885685.0
8,FLORIDA PENINSULA INSURANCE COMPANY,10132,200573,830505761.0,200573,830505761.0
9,MANATEE INSURANCE EXCHANGE,17580,212090,684148958.0,212090,684148958.0
10,HERITAGE PROPERTY & CASUALTY INSURANCE COMPANY,14407,113016,663658225.0,110213,406446999.0
11,"HOMEOWNERS CHOICE PROPERTY & CASUALTY INSURANCE COMPANY, INC.",12944,144879,651377567.0,144879,651377567.0
12,EDISON INSURANCE COMPANY,12482,148265,607845504.0,148265,607845504.0
13,AMERICAN COASTAL INSURANCE COMPANY,12968,4027,588129720.0,0,0.0
14,MONARCH NATIONAL INSURANCE COMPANY,15715,144060,544026238.0,144060,544026238.0
15,UNITED SERVICES AUTOMOBILE ASSOCIATION,25941,154187,494788131.49,154187,494788131.49
16,KIN INTERINSURANCE NETWORK,16603,162306,472150086.0,162306,472150086.0
17,SECURITY FIRST INSURANCE COMPANY,10117,150707,468715363.0,150707,468715363.0
18,AMERICAN SECURITY INSURANCE COMPANY,42978,103958,465768846.0,103958,465768846.0
19,OLYMPUS INSURANCE COMPANY,12954,78823,462893245.0,78750,453744264.0
20,SOUTHERN OAK INSURANCE COMPANY,12247,151998,442034923.0,151998,442034923.0
21,TYPTAP INSURANCE COMPANY,15885,78317,435232439.0,78317,435232439.0
22,FEDERAL INSURANCE COMPANY,20281,27851,351688521.34,27851,351688521.34
23,CASTLE KEY INDEMNITY COMPANY,10835,184412,299345270.43,184412,299345270.43
24,PEOPLE'S TRUST INSURANCE COMPANY,13125,85862,286901982.0,85862,286901982.0
25,AUTO CLUB INSURANCE COMPANY OF FLORIDA,12813,87418,252906761.0,87418,252906761.0
